SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE LOST,LONGITUDE LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE
Alan Martin,YO-31,Crystal Oil Co,Tanker,1918,"New York, NY",9/10/1987,1987,9,10,Shark River Artificial Reef,40-06-44   N,73-41-13   W,Explosives,Steel,US,160,25,28,,,NJ AR,SR,2,,,,,,,,,Y,Y,Sponsor - NJ Marine Trades Assoc,See scrapbooks 38 - 43 - Purple Misc
Alan T Niven,,,Motor vessel,1922,,7/7/1928,1928,7,7,"Warners, NJ",,,Burned,,,,,,45,,,,,,3,,1,,,,,,N,#222518,
Alaric,,,Sloop,,,1/25/1855,1855,1,25,,,,Stranded; Leaking,,,,,,,,,"Wilmington, NC","New York, NY",,,,,,,,,,N,,
Alarm USS,,,Torpedo Boat,1873,"New York, NY",11/28/1877,1877,11,28,Barnegat,,,"Collision w/ ""C & C Brooks""",iron,,173,28,11.1,800,,,,,,,,,,,,,,N,,
Albano,,,Brig,,,7/17/1852,1852,7,17,Egg Harbor SE 25 mi,,,Capsized in squall,,,,,,,,"Waldoboro, ME","New Haven, CT","Philadelphia, PA",,,,,,,,,,N,,
Albany,,,Sloop,,,2/23/1744,1744,2,23,,,,Foundered,,,,,,,,,,,William Bradford,,,0,,,,,,N,,
Albatross,,Olav J Berg,Motor vessel diesel,1925,"Ranen, Norway",9/2/1932,1932,9,2,Ambrose Light,,,Burned,Wood,,45.3,16.2,8.1,20,13,,,,,5,,0,,,,,Y,N,#227962; Total loss,
Albemarle (1856),,,Schooner,,,12/15/1856,1856,12,15,Sandy Hook Inside,,,Stranded,,,,,,,,"Pantego, NC","Providence, RI","New York, NY",,,,0,,,,,,N,,
Albemarle (1866),,,Schooner,,,3/24/1866,1866,3,24,Seven Mile Beach,39 04 00 N,74 44 00 W,,,,,,,,,"Boston, MA","Boston, MA",,,5,,,,,In Ballast,,,N,,
Albert (1837),,,Schooner,,,5/12/1837,1837,5,12,Cape May E 30 mi,,,"Collision w/ ""Talley Ho""",,,,,,,,"Barnstable, MA","Boston, MA","Fredericksburg, VA",,,,0,,,Molasses,,,N,,
Albert H Waite (1885),,J. Winslow & Co,Schooner,1873,"Pembroke, MA",10/12/1885,1885,10,12,Barnegat Inlet SE 25 mi,38-05-08 N,73-05-30 W,Foundered in gale,,,114,29,13.8,294,,"Portland, ME","Philadelphia, PA","New Bedford, MA",George A. Moore,,,,,,Coal & Lumber,,N,N,#105271; Partial loss,
Albert H Waite (1887),,John Musgrave,Schooner,1873,"Pembroke, MA",3/12/1887,1887,3,12,At sea,,,Foundered; Abandoned,,,114,29,13.8,294,,"Philadelphia, PA","Philadelphia, PA","New Bedford, MA",George A. Moore,,,0,,,Coal,,Y,N,"#105271; Total loss; Crew saved by ""Decatur H Miller""",
Albert Mason,,,Schooner,1861,"Patchogue, NY",1/7/1891,1891,1,7,Holly Beach SE 4 mi,,,In distress,,,114.6,30.1,9.1,285.71,271.43,"New York, NY","Chickahominy River, VA","New York, NY",Gale,6,,0,"$8,000","$2,000",Railroad ties,Holly Beach,N,N,#742; Repaired,
Albert Vinal,,,Schooner,,,12/18/1852,1852,12,18,Sandy Hook E 40 mi,,,Foundered in gale,,,,,,,,"Portland, ME","Philadelphia, PA","Portland, ME",Anderson,,,,,,,,Y,N,Total loss,
Albert W Smith,,,Schooner,1873,"Kennebunk, ME",4/11/1894,1894,4,11,Squan Beach NE .25 mi,,,Stranded,,,145,35,17,602,572,,"Philadelphia, PA","Providence, RI",Berry,8,,8,"$12,000","$3,500",Coal,,,N,#105288,
Alberta,,,Schooner,1882,"Baltimore, MD",10/12/1911,1911,10,12,Little Egg Harbor S 1 mi,,,Grounded,,,78.2,25.3,6.3,77,73,"Chincoteague, VA","York River, VA","New York, NY",,4,0,0,"$3,000",$640,Lumber,Little Egg & Little Beach,N,N,#106113; Refloated,
Albertine Meyer,,J Diercks,Brig,,,2/6/1884,1884,2,6,Barnegat LSS SE .5 mi,,,Stranded,Wood,Germany,102.7,25.3,14.5,266,,"Rostock, Germany","Bahia, Brazil","New York, NY",Selck,9,0,0,"$10,000","$40,000",Sugar,Barnegat,Y,N,#770; Total loss,
Albion (1839),,,Brig,,,1/6/1839,1839,1,6,Cape May,,,Stranded,,,,,,,,,,,,,,,,,Flour,,,N,,
Albion (1847),,,Schooner,,,8/1847,1847,8,,Sandy Hook,,,Stranded,,,,,,,,,"Picton, NS","New York, NY",,5,0,0,,,,,Y,N,Total loss,
Albion (1857),,,Schooner,,,9/1857,1857,9,,Sandy Hook,,,Stranded,,,,,,,,,"Calais, France","Philadelphia, PA",,,,,"$3,000",,,,Y,N,Total loss,
Alert (1901),,,Sloop,1880,"Brooklyn, NY",7/4/1901,1901,7,4,Barnegat LSS E 2 mi,,,Struck submerged object,Wood,US,86.2,18.1,7.4,69,36,"Philadelphia, PA","Little Egg Harbor, NJ",Fishing trip,T J Steelman,16,0,0,"$6,000",,None,Barnegat & Forked River,Y,N,#105890; Total loss,
Alert (1929),,,Motor vessel diesel,1917,"Norfolk, VA",4/25/1928,1928,4,25,Highlands Light,,,Foundered,,,105.4,15,8.1,78,32,,,,,6,,0,,,,,,N,#223729; US Navy Subchaser #130,
Alert (1935),,,Trawler,,,1/11/1935,1935,1,11,Sandy Hook,,,Collision w/ scow,,,,,,,,,,,,,,,,,,,Y,N,Total loss,
Alexander Gibson,,,Schooner - Barge,1877,"Thomaston, ME",11/28/1915,1915,11,28,Five Fathom Bank,,,Stranded,Wood,US,247.3,42.6,21.9,2194,1997,"New York, NY","Seawalls Point, VA","Boston, MA",,5,0,0,,,Coal,,Y,N,#105741; Total loss,
Alexander Wiley,,,Schooner,,,5/6/1878,1878,5,6,Little Egg Harbor LSS S 1 mi,,,Stranded,,,,,,64.83,,"Baltimore, MD","New Haven, CT","Baltimore, MD",Beecher,4,0,0,"$3,000",,None,Little Egg #23,N,N,#1663; Refloated,
Alfred & Charles,,,Sloop,,,9/12/1838,1838,9,12,Cape May,,,Grounded in gale,,,,,,,,,,,,,,0,,,,,Y,N,Total loss,
Alfred C Harmer,,,Sloop,1873,"Bayport, NY",1/1/1897,1897,1,1,Little Egg LSS E 1.75 mi,,,Stranded,Wood,US,47.2,17.2,5.1,23,20,"Somers Point, NJ","Little Egg Harbor, NJ","New York, NY",Endicott,2,0,0,"$1,000",$50,Wood,Little Egg,N,N,#105279; Refloated,
Alfred Hall,,G P Wright,Schooner,1854,"Perth Amboy, NJ",1/23/1871,1871,1,23,Little Egg Harbor,,,Stranded,,,,,6,60,,"Baltimore, MD",,"New York, NY",Croft,5,0,6,,,,#17,,N ,,
Alfred W. Fiske,,Elihu Kelley,Schooner 3 masted,1872,"Bath, ME",11/16/1872,1872,11,16,Brigantine Beach,,,Stranded,,US,136.3,32.1,14.3,395.36,375.59,"Providence, RI","Baltimore, MD","Boston, MA",Elihu Kelley,7,,0,"$25,000","$25,000",Coal,Atlantic City #27,N,N,#105114; Refloated,
Algol,James Baines,U S Maritime Admin,Transport,1943,"Oakland, CA",11/21/1991,1991,11,21,Shark River Artificial Reef,40-06-545 N,73-41-450 W,Explosives,Steel,US,456,63,66,,,NJ AR,SR,4,,,,,,,,,Y,Y,Sponsor - NJ Div Fish & Game,See scrapbooks 38 - 43 - Purple Misc
Algoma,,J F Whitney,Ship,1872,,5/18/1889,1889,5,18,Long Beach LSS N .5 mi,,,Stranded,,England,,,,1184,,"Halifax, NS","Rio de Janiero, Brazil","New York, NY",Vego,19,,0,"$8,000",,In ballast,Long Branch #5,N,N,Refloated,
Alias,,,Motor vessel,1912,,8/20/1939,1939,8,20,"North Bergen, NJ",,,Fire,,,,,,10,,,,,,5,,0,,,,,,N,#209671,
Alice (1840),,,Brig,,,2/1840,1840,2,,Highland Light E 3 mi,,,Stranded,,US,,,,,,"Bath, ME","Bath, ME",Cuba,,,,,,,,,Y,N,"Ship, crew & cargo lost",
Alice (1841),,,Schooner,,,12/1841,1841,12,,Highlands Light N,,,Stranded,,US,,,,,,"Plymouth, MA",,,,,,,,,,,,N,Crew lost,
Alice (1867),,,Brig,,,10/11/1867,1867,10,11,Sandy Hook,,,Stranded,,,,,,,,,,,,,10,,,,,,,N,,
Alice (1879),,J S Winslow & Co,Bark,1874,"Deering, ME",7/18/1879,1879,7,18,Absecon SSE 35 mi,,,"Collision w/ ""San Miguel""",,US,,,,504,,"Portland, ME","Caibarien, Cuba","New York, NY",F S Dyer,,,,,,,,N,N,Partial loss; Put in to New York,
Alice (1893),,M Jacobson,Bark,1865,"Damariscotta, ME",2/6/1893,1893,2,6,Long Beach LSS S 1.75 mi,,,Ran aground in fog,,Norway,170,35,22,977,,"Arandal, Norway","Dunkirk, France","New York, NY",Jacobsen,16,0,4,"$15,000",,None,Long Beach & Ship Bottom,,Y,,
Alice (1946),,,Motor vessel,1911,"Fairton, NJ",5/26/1946,1946,5,26,Hereford Inlet S 1 mi,,,,,,31.7,10.4,3.2,6,5,,,,,1,0,0,,,,,,N,#222249,
Alice B (1889),,,Schooner,1863,"Cleveland, OH",4/30/1889,1889,4,30,Hereford Inlet North bar,,,Stranded,Wood,US,124,25.5,9.4,227.14,215.78,"Barnstable, MA","Rondout, NY","Wilmington, DE",Fisher,5,0,0,"$4,000","$5,000",Cement,,N,N,#1459; Refloated,
Alice B (1890),,,Schooner,1863,"Cleveland, OH",3/29/1890,1890,3,29,Absecon,,,Collision,Wood,US,124,25.5,9.4,227.14,215.78,"Barnstable, MA",,,,,,,,,,,Y,N,#1459; Sank,
Alice Belle,,,Schooner,1877,"Bath, ME",5/16/1896,1896,5,16,Ocean City LSS E 1.25 mi,,,Stranded,,US,127,32,8,277,264,"New London, CT","Gardiner, ME","Ocean City, NJ",Chadwick,6,0,0,"$3,500",$800,Ice,Ocean City,,N,#105156,
Alice Hearn,,W S Hudson,Schooner,1880,"Milton, DE",9/11/1882,1882,9,11,Sandy Hook,,,Heavy Gale,,US,,,,347.42,,"Philadelphia, PA","Baltimore, MD","Boston, MA",Reuben H Pennewill,,,,"$20,000","$2,200",Coal,,,N,#105903,
Alice L Pearce,,,Schooner,,,11/23/1876,1876,11,23,,,,Stranded,,US,,,,75,40.72,"Squan, NJ","Pamunkey River, VA","New York, NY",Green,6,0,0,"$5,000","$6,000",Tomatoes,Little Egg,N,N,#1725; Refloated,
Alice Lee,,,Schooner,,,12/14/1859,1859,12,14,Squan Inlet S 2 mi,,,Stranded,Wood,US,,,,,,,"Boston, MA","Philadelphia, PA",Foster,,,0,,,In Ballast,,,N,,
Alice M Lewis,,Jesse Lewis,Schooner,1869,"Essex, MA",4/11/1879,1879,4,11,Townsends Inlet North bar,,,Stranded,,US,73.5,21,7.5,67,,"Gloucester, MA","Gloucester, MA",,Jesse Lewis,12,0,0,"$4,000","$1,500","Ice, Salt",Townsends Inlet,,N,#1794; $750 of cargo recovered,
Alice M Ridgway (1868),,,Schooner,1864,"Tuckerton, NJ",3/20/1868,1868,3,20,Cape May Fishing Creek,,,Stranded; Capsized,Wood,US,53,19.4,4.6,26.08,24.78,"Tuckerton, NJ","Cape May, NJ","Philadelphia, PA",Thomas McKean,4,0,4,"$1,600",,Gravel,,,N,#521; Refloated; Repaired,
Alice M Ridgway (1877),,,Schooner,1864,"Tuckerton, NJ",2/14/1877,1877,2,14,Cold Spring Inlet South bar,,,Stranded,Wood,US,53,19.4,4.6,26.08,24.78,Cape May. NJ,"Philadelphia, PA","Cape May, NJ",Cresse,3,0,0,"$1,600",$160,Coal,Cape May #39,N,N,#521,
Alice Ridgway (1888),,William E Cranmer,Sloop,1880,"Tuckerton, NJ",3/12/1888,1888,3,12,Little Egg LSS N .25 mi,,,Stranded,Wood,US,38.6,13.9,4,10.98,10.44,"Tuckerton, NJ","Manahawkin, NJ","New York, NY",Brown,2,0,0,$800,$125,Oysters,Little Egg,N,N,#105893; Refloated,
Alice Ridgway (1897),,William E Cranmer,Sloop,1880,"Tuckerton, NJ",9/17/1897,1897,9,17,"Billingsport, NJ",,,Struck on jetty,,US,38.6,13.9,4,10.98,10.44,"Tuckerton, NJ","Beach Haven, NJ","Chester, PA",William E Cranmer,3,0,,$800,$50,Coal,,Y,N,#105893; Total loss,
Alice Starratt,,C W Berteux,Brig Half,1866,"Rockland, MA",4/27/1874,1874,4,27,Sandy Hook SExE 90 mi,,,Disabled,,,119,28.9,11.7,362,,"Halifax, NS","Port Caledonia, Cape Breton",,B Tooker,,,,,,,,N,N,Towed to NY,
Alicia B Crosby,,E.S. Crosby,Schooner,1889,"Bath, ME",1/31/1911,1911,1,31,Avalon LSS ENE 1.5 mi,,,Stranded,,US,204.4,40.3,18.5,113.58,101.7,"Bath, ME","Portland, ME","Philadelphia, PA",George W Bunker,10,0,0,"$50,000",,None,Avalon,N,N,#106682; Refloated,
Alida A Smith,,R Rose,Brig,1876,,3/15/1886,1886,3,15,Hereford Inlet South bar,,,Stranded,,,99.2,27,10.7,181,,"Windsor, NS","Cienfuegos, Cuba",Delaware Breakwater,Card,7,0,0,$6,"$1,600",Molasses,Hereford Inlet,,N,,
Alisha Marie,,Robert Elsey,Scallop boat,2003,,12/23/2009,2009,12,23,Barnegat Light E 26 mi,,,Capsized,Steel,US,38,,,,,"Pt Pleasant, NJ","Pt Pleasant Beach, NJ",Fishing service,Robert Mark Cooper,3,,2,,,,USCG Barnegat Light,Y,N,NJ8965GT,Scrapbook #15
Alknamook,,,Schooner,,"New London, CT",1/4/1876,1876,1,4,"Long Branch, NJ",,,Stranded,,,,,,40,,,"New York, NY",Fishing Banks,,6,,0,"$4,000",$0,None,#4,,N,,
Allair,,,Sailing ship,,,4/3/1740,1740,4,3,Sandy Hook,,,Foundered,,,,,,,,,,,,,,,,,,,,N,,
Allan R,,,Tug,,,3/26/2004,2004,3,26,Cape May Artificial Reef,38-51-475 N,74-42-029 W,Scuttled,Steel,US,110,,,,,NJ AR,CM,186,,,,,,,,,Y,Y,Sponsor - Ann E Clark Foundation,See scrapbooks 38 - 43 - Purple Misc
Allen Osborn,,,Schooner,,,1838 - 1878,1860,,,Barnegat Inlet N 1-2 mi,,,Stranded,,,,,,,,,,,,,,,,,,,,N,,
Allentown (1879),,Philadelphia & Reading RR Co,Steamship Aux. Sail,1874,"Philadelphia, PA",1/25/1879,1879,1,25,"Hereford Inlet, NJ",,,Dismasted,,,,,,1283,910,"Philadelphia, PA","Philadelphia, PA","Boston, MA",A.B. Mills,18,,0,"$200,000","$4,809",1603 ton coal,,N,N,#105409; Made Philadelphia for repairs,
Allentown (1886),,Philadelphia & Reading RR Co,Steamship Aux. Sail,1874,"Philadelphia, PA",2/26/1886,1886,2,26,Barnegat E,,,Lost main mast,,,,,,1283,910,"Philadelphia, PA","Boston, MA","Philadelphia, PA",William M Swasey,18,,0,"$127,000",,In ballast,,N,N,#105409; Repaired,
Allentown (1917),,,Barge,1908,"Noank, CT",3/31/1917,1917,3,31,Highlands,,,"Collision w/ ""Coamo""",,,183.3,35,14.7,842,744,,,,,,,,,,,,,N ,#205508,
Allie B Cathrall,,,Schooner,1885,"Milford, DE",11/16/1893,1893,11,16,Absecon Inlet,,,Grounded,Wood,US,97.3,26.2,6.3,108.95,103.51,"Wilmington, DE","New York, NY","Atlantic City, NJ",Hubbard,5,,0,"$5,000",$750,Lumber,,N,N,#106343; Refloated,
Allie Bickmore,,,Schooner,,,7/12/1874,1874,7,12,Long Beach Island,,,Stranded,,,,,,,,,,,,,,,,,Corn,,,Y,,
Allies,,T Cowan,Brig,1855,Nova Scotia,3/30/1863,1863,3,30,Corsons Inlet,,,Foundered,,England,98.6,21.1,11.1,149,,"Whitehaven, England","Cow Bay, NS","New York, NY",Christopher,10,,0,,,"Cotton, Wool, hides",,Y,N,Ship lost; cargo saved,
Alma (1908),,,Tug steam,1905,"Manchester, VA",12/22/1908,1908,12,22,Cold Spring LSS E 2.5 mi,,,Foundered,,,49.1,12,5.5,17,6,"Richmond, VA","Bellevue, DE","Cold Spring, NJ",,5,,0,"$7,500",$500,,Cold Spring & 2 mile Beach,Y,N,#202292; Sank w Barge No 4 in tow,
Alma (1924),,Gustave Johnson,Motor vessel gas,1917,"Wildwood, NJ",1/5/1924,1924,1,5,Five Fathom Bank Lightship,,,Foundered after engine failure,Wood,,31.3,10.9,4.7,8,6,"Philadelphia, PA","Wildwood, NJ",Fishing trip,Gustave Johnson,5,,0,"$2,000",,200 lb cod,,Y,N,#214953; Total loss,
Almar,,,Yacht motor,1933,,6/28/1937,1937,6,28,Stone Harbor SE,,,Burned,,,,,,19,,,,,,1,,0,,,,,Y,N,#232794; Total loss,
Almirante,Flour Wreck,United Fruit Co,Passenger cargo ship,1909,"Belfast, Ireland",9/6/1918,1918,9,6,Atlantic City ESE 9 mi,39-21-12 N,74-11-31 W,"Collision w/ ""USS Hiasko""",Steel,US,379,50,29,5010,3120,"New York, NY","New York, NY","Havana, Cuba",,98,7,5,,,"Flour, general cargo",,Y,Y,Hydro # 596,
Aloha,,,,,,5/8/1907,1907,5,8,Barnegat,,,,,,,,,,,,,,,,,,,,,,N,N,"Ring buoy marked ""Aloha"" found on beach",
Alpha,,,Freighter,1881,"Philadelphia, PA",12/31/1911,1911,12,31,Atlantic City N 1 mi,,,Stranded,Iron,US,161.6,23.5,8,366,297,"Somers Point, NJ","Philadelphia, PA","Atlantic City, NJ",,13,,0,"$25,000","$6,000",General,Absecon & Atlantic City,N,Y,Refloated,
Altair,,Socony Vacuum Oil Co,Tanker,1920,"Chester, PA",11/21/1943,1943,11,21,Delaware Bay entrance,,,"Collision w/ ""Bostonian""",,,429,59,33,6933,,"New York, NY","Puerto la Cruz, Venezuala","Paulsboro, NJ",Rein Schnore,59,,10,,,Crude oil,,Y,N,Burned; Total loss,
Altavela,,Rufus C Wells,Schooner,1853,"Searsport, ME",5/2/1884,1884,5,2,Barnegat LSS ENE 1 mi,,,Stranded,,,102.2,27.6,8.2,183,,"Brooklin, ME","Blue Hill, ME","Washington, DC",Wells,5,,0,"$3,000","$2,000",Stone,Barnegat,Y,N,#211; Total loss,
Altavelia,,Allen C Holt,Schooner,1870,"Ellsworth, ME",11/6/1866,1866,11,6,Delaware Capes N 10 mi,,,Capsized in gale,,,98,27.8,7.2,119,,"Ellsworth, ME",,,,,,0,,,1000 bbls fish oil,,Y,N,#1957; Crew saved,
Alva B,,E H Hallman,Launch gas,,,7/29/1906,1906,7,29,Hereford Inlet bar,,,Capsized in storm,,,,,,,  ,"Grassy Sound, NJ","Anglesea, NJ",Fishing trip,,11,,1,$400,,,Hereford Inlet,Y,N,"Also see ""Nora""",
Alva Cape,,Alva SS Co,Tanker,1953,"Greenock, Scotland",6/16/1966,1966,6,16,"Kill van Kull, NY",,,"Collision w/ ""Texaco Massachusetts""",Steel,England,546,69,30,11252,,"London, England",,"Kill van Kull, NY",,,,33,,,"143,000 bbls naptha",,Y,N,Exploded; Later scuttled at sea,
Alvega,,Stephenson & Smith,Bark,1874,"River John, NS",4/5/1886,1886,4,5,Barnegat SE 15 mi,,,"Collision w/ ""Quebec""",,Norway,183.7,37,22.4,1062,,"Arendal, Norway","Amsterdam, Neth","Philadelphia, PA",Samuel Gallus,,,,,,,,N,N,Partial Loss; towed in,
Alvena,Glengyle,Atlas SS Co,Steamship,1870,"Glasgow, Scotland",1/19/1897,1897,1,19,Sandy Hook,,,"Collision w/ ""British Queen"" ",Iron,England,274.2,32.9,24.4,1741,1142,"Liverpool, England","New York, NY",Haiti,Dow,46,2,0,,,General,,Y,N,"Crew rescued by ""Walter Adams""; Total loss",
Always Late,,,Sport fishing boat,,,9/19/2009,2009,9,19,Cape May E 55 mi,,,Flooded; Sank,,US,48,,,,,,"Ocean City, MD",Fishing trip,,8,,0,,,,USCG Atlantic City,Y,N,"Rescued by ""Marli""; Kept fishing",Scrapbook #15
Amagagoc,,,Morgan 41',,,5/20/1972,1972,5,20,Brigantine,,,Stranded,,,,,,,,,,,,,,,,,,,N,N,"Refloated; See ""Five Sloops""",
Amazing Grace,,Wanchese Fishing Co,Fishing trawler,,,11/15/1984,1984,11,15,"Ocean City, MD E 100 mi",,,Lost at sea,Steel,US,87,,,,,"Hampton, VA",,,Paul Robles,9,,9,"$500,000",,,,Y,N,Pesummed lost,
Amazon,,,Schooner,,,4/26/1851,1851,4,26,Barnegat NE 8 mi,,,"Collision w/ ""Kenebec""",,,,,,,,"Philadelphia, PA","New York, NY","Philadelphia, PA",Steelman,,,,,,In ballast,,Y,N,Total loss,
Amberjack III,,Vincent Ardolino,Fishing boat,1946,"Bayonne, NJ",7/13/1969,1969,7,13,Sandy Hook,,,"Collision w/ ""Tullahoma""",Wood,US,76,17.7,4.4,12,8,"New York, NY","Sheepshead Bay, NY",Fishing trip,Fred Ardolino,48,,1,,,,,Y,N,#251229; Sank,
Ambrose Lightship,,U S Coast Guard,Lightship,,,3/28/1950,1950,3,28,Sandy Hook,,,"Rammed in fog by ""Santa Monica""",,,,,,,,,,,,,,,,,,,N,N,Hull punctured,
Ambrose Relief #505,Relief Lightship #505,U S Coast Guard,Relief Lightship,1904,"Camden, NJ",6/24/1960,1960,6,24,Ambrose Channel,40-27-00 N,73-49-06 W,"Collision w/ ""Green Bay""",Steel,US,129,28,14,631,,"New York, NY",,Lightship service,,9,,0,,,,,Y,N,Sank; Crew rescued,
Ambrose Snow No 12,,,Pilot boat,,,5/13/1912,1912,5,13,New York Harbor Lower Bay,,,"Collision w/ ""Delaware""",,,,,,,,,,,,,,0,,,,,N,N,Refloated,
Amelia (1811),,,Ship,,,2/16/1811,1811,2,16,Sandy Hook,,,Wrecked,,England,,,,,,,England,"New York, NY",,,,,,,,,Y,N,Total loss,
Amelia (1860),,,Ship,,,3/20/1860,1860,3,20,Great Egg Harbor bar,39-17-30 N,74-32-30 W,Stranded & bilged,,,,,9,,,"New York, NY","New Orleans, LA","New York, NY",Raymond,16,,,"$60,000",,Flour,,Y,N,Total loss,
Amelia (1864),,,Bark,,,4/10/1864,1854,4,10,Long Beach Island,,,Grounded,,England,,,,,,,"Demerara, British Guiana","New York, NY",Jenkins,,,,,,"Brandy, molasses",,Y,N,,
Amelia (1870),,,Schooner,,,2/11/1870,1870,2,11,Sandy Hook,,,Collision,,,,,,,,,"New York, NY",Virginia,,,,,,,,,N,N,Towed to NY for repairs,
Amelia (1924),,Atlantic Naval Co,Steamship,1906,"Wallsend-on-Tyne, England",2/18/1924,1924,2,18,Brigantine Shoal,,,Stranded,Steel,US,227.3,31.7,13.7,1271,743,"New York, NY",,,,23,,,"$60,000",,Bananas,,N,N,#215327; Refloated,
Amelia Brewer,,Welsh & Cower,Bark,1853,"Rockland, ME",4/10/1864,1864,4,10,Townsends Inlet,,,Grounded,,,,,,422,,,"New Orleans, LA","Boston, MA",,,,,,,"Cotton, Molasses, etc.",,,N,,
Amelia Furman,,,Schooner,,,11/28/1902,1902,11,28,"Long Branch, NJ",,,"Pucntured, Bilged at anchor",,,,,,,,,,,,4,,0,,,,Long Branch,Y,N,,
Amelia Hodgkins,,,Schooner,,,3/3/1877,1877,3,3,Egg Harbor,,,Lost sails and masthead,,,,,,,,,Chesapeake,"Provincetown, MA",,,,,,,,,N,N,Partial loss,
Amelia P Schmidt (1886),,,Schooner,1883,"Dennisville, NJ",5/16/1886,1886,5,16,"Long Branch, NJ",,,Damaged in squall,,,128.9,32.3,8.9,279.93,265.93,"Bridgeton, NJ",Domingo City,"New York, NY",Pashley,,,,,,,,N,N,#106235,
Amelia P Schmidt (1887),,,Schooner,1883,"Dennisville, NJ",5/13/1887,1887,5,13,Cape May LSS S 2 mi,,,Stranded,,,128.9,32.3,8.9,279.93,265.93,"Bridgeton, NJ","Kennebec River, ME","Bridgeton, NJ",Pashley,7,,0,"$30,000","$3,200",#106235,Cape May,,N,#106235,
Amelia P Starkey,,Kelly et al,Schooner,1853,"Essex, MA",5/9/1855,1855,5,9,Highlands E 8 mi,,,Dismasted,,,,,9,96,,,,,,,,,,,,,N,N,,
Amelia Priest,,,Bark,,,10/29/1864,1864,10,29,Highlands SE 40 mi,,,"Collision w/ ""Kenneth""",,,,,,,,,"Philadelphia, PA","Havre, France",,,,,,,,,N,N,Made NY for repairs,
America (1855),,,Tug steam,,,2/1855,1855,2,,Cape May,,,In distress,,,,,,,,,,,,,,,,,,,,N,Caught in ice,
America (1866),,,Steamship,,"Hoboken, NJ",10/5/1866,1855,10,5,Barnegat Shoal,,,Stranded,,US,,,,,,,"Wilmington, DE","New York, NY",Ready,20,,0,,,Cotten,,,N,,
America (1875),,,Sloop,1839,"Stonington, CT",3/19/1875,1875,3,19,Little Egg Harbor bar,,,Grounded,,,,,,25.34,,,,,Ford,6,,0,"$1,500",$300,Cod,Little Egg,N,N,#1013; Refloated,
America (1879),,,Sloop,1839,"Stonington, CT",2/20/1879,1879,2,20,Little Egg Harbor,,,Stranded,,,,,,25.34,,"Greenport, NY",,"New York, NY",Ford,,,,,,Cod,,N,N,#1013; Refloated,
America (1910),,,Steamship,1907,,11/2/1910,1910,11,2,"Rancocas Creek, NJ",,,Burned,,,,,,32,,,,,,3,,0,,,,,,N,#204568,
American (1851),,,Brig,,,4/4/1851,1851,4,4,Long Beach Island,,,Stranded; Bilged,,US,,,,,,,"Savannah, GA","New York, NY",Ross,,,,,,,,Y,N,Total loss,
American (1909),,,Freighter steam,1900,"Chester, PA",12/21/1909,1909,12,21,Brigantine LSS SE 4 mi,,,Stranded,Steel,,406.8,51.1,30.3,5591,3643,"New York, NY","Puerto, Mexico","New York, NY",,46,,,"$500,000","$400,000",General,Brigantine,,N,#107591,
American (1913),,Standard Oil Co of NJ,Steamship,1892,"Newcastle, England",2/22/1913,1913,2,22,Sea Isle City LSS E .75 mi,,,Stranded,Steel,Netherlands,345.4,44.1,27.6,3520,2266,"Rotterdam, Holland","Antwerp, Belgium","Philadelphia, PA",,37,,0,"$100,000",,in ballast,Sea Isle City,N,N,Refloated,
American (1918),,,Transport,,,10/18/1918,1918,10,18,"Hoboken, NJ",,,Sank at pier,,,,,,,,,,,,,,,,,,,Y,N,,
American (1925),,,Tanker barge,1898,"New York, NY",10/14/1925,1925,10,14,Absecon Light,39-14-40 N,74-22-50 W,Stranded,Steel,US,,,,836,753,"Baltimore, MD",,,,4,,0,,,,,,N,#107433,
American (1985),Roy M,The Lobster House,Schooner,1921,"Essex, MA",6/3/1985,1985,6,3,Atlantic City Artificial Reef,39-13-855 N,74-12-332 W,Opened hull,Wood,US,125,18,12,,,NJ AR,AC,3,,,,,,,,,Y,Y,Cocktail lounge in Cape May for 20 years,See scrapbooks 38 - 43 - Purple Misc
American System,,,Schooner,,,9/12/1838,1838,9,12,Little Egg Harbor,,,Stranded in gale,,,,,,,,"Staten Island, NY",Virginia,"New York, NY",,,,,,,General,,,N,Driven ashore,
Amerika,,,Bark,,,12/26/1841,1841,12,26,Sandy Hook,,,Sank,,Sweden,,,,,,,"Trapani, Italy","New York, NY",Falkman,,,,,,,,Y,N,,
Amity,,,Packet ship,1816,"New York, NY",4/23/1824,1824,4,23,Squan Beach,,,Stranded in fog,,,106.6,28.6,14.3,382,,,"Liverpool, England","New York, NY",John Stantion,,,,,,,,,N,,
